id,x,y,length
0,39.709846,47.237921,227
1,39.710197,47.237928,227
2,39.710765,47.237939,227
3,39.710759,47.238107,227
4,39.710843,47.238211,227
5,39.71092,47.23827,227
6,39.711409,47.23849,227
7,39.711409,47.23849,162
8,39.711287,47.238489,162
9,39.711269,47.239004,162
10,39.711263,47.23902,162
11,39.711252,47.23903,162
12,39.711225,47.239037,162
13,39.710721,47.239029,162
14,39.710721,47.239029,363
15,39.710717,47.239119,363
16,39.710714,47.239208,363
17,39.71071,47.239287,363
18,39.710705,47.239421,363
19,39.710674,47.240122,363
20,39.709355,47.240736,363
21,39.709357,47.240701,363
-1,-1,-1,-1
